x,y,z,s,yaw
0.74,3.158,0.059,0.0,4.712
0.74,3.104,0.057,0.053999999999999826,4.712
0.74,3.027,0.057,0.13099999999999978,4.712
0.74,2.922,0.057,0.23599999999999977,4.712
0.74,2.846,0.059,0.31199999999999983,4.712
0.74,2.791,0.059,0.367,4.712
0.74,2.695,0.058,0.4630000000000001,4.712
0.74,2.591,0.059,0.5669999999999997,4.712
0.74,2.526,0.06,0.6320000000000001,4.712
0.74,2.428,0.057,0.73,4.712
0.74,2.377,0.059,0.7810000000000001,4.712
0.74,2.324,0.058,0.8340000000000001,4.712
0.74,2.253,0.057,0.9049999999999998,4.712
0.74,2.143,0.056,1.0150000000000001,4.712
0.74,2.028,0.056,1.13,4.712
0.74,1.901,0.058,1.257,4.712
0.74,1.811,0.06,1.347,4.712
0.74,1.753,0.061,1.405,4.712
0.74,1.623,0.058,1.535,4.712
0.74,1.536,0.06,1.6219999999999999,4.712
0.74,1.445,0.058,1.7129999999999999,4.712
0.74,1.394,0.059,1.764,4.712
0.74,1.336,0.058,1.8219999999999998,4.712
0.74,1.274,0.057,1.884,4.712
0.74,1.218,0.06,1.94,4.712
0.74,1.14,0.058,2.018,4.7
0.739,1.051,0.057,2.107005617800226,4.699
0.738,0.983,0.059,2.175012970343903,4.699
0.736,0.852,0.058,2.3060282366299356,4.699
0.735,0.749,0.057,2.4090330908844804,4.699
0.733,0.609,0.056,2.5490473758699776,4.699
0.731,0.433,0.056,2.725058739139512,4.699
0.727,0.184,0.056,2.974090865581062,4.699
0.724,-0.075,0.055,3.2331082395157074,4.699
0.72,-0.357,0.055,3.5151366068832473,4.699
0.716,-0.671,0.055,3.8291620835567173,4.699
0.712,-1.018,0.055,4.17618513754593,4.699
0.708,-1.353,0.058,4.511209017291836,4.696
0.696,-1.633,0.06,4.79146604218149,4.616
0.666,-1.865,0.061,5.025397656120265,4.561
0.636,-2.057,0.062,5.219727273008685,4.56
0.614,-2.202,0.062,5.366386742529067,4.56
0.596,-2.318,0.062,5.483774987255701,4.56
0.58,-2.418,0.063,5.5850468984650785,4.56
0.573,-2.469,0.063,5.636525049170014,4.567
0.559,-2.561,0.057,5.7295841701630685,4.567
0.547,-2.648,0.058,5.8174078571728955,4.567
0.533,-2.74,0.057,5.9104669781659505,4.567
0.513,-2.877,0.056,6.048919135967842,4.567
0.489,-3.04,0.056,6.213676533373847,4.567
0.462,-3.224,0.056,6.39964696113052,4.567
0.431,-3.436,0.055,6.613901482669739,4.567
0.401,-3.642,0.055,6.822074487643967,4.567
0.366,-3.879,0.058,7.061644936572878,4.567
0.333,-4.104,0.058,7.289052060471845,4.567
0.3,-4.331,0.059,7.518438197803638,4.567
0.273,-4.504,0.06,7.693532458132181,4.527
0.246,-4.638,0.061,7.830225545009316,4.507
0.224,-4.744,0.062,7.938484493831111,4.507
0.208,-4.818,0.062,8.014194466754102,4.507
0.194,-4.886,0.06,8.083620686584942,4.507
0.18,-4.952,0.059,8.151089197758674,4.484
0.155,-5.045,0.058,8.247390807298702,4.427
0.13,-5.128,0.059,8.334074139029779,4.404
0.112,-5.184,0.061,8.39289590370919,4.404
0.081,-5.279,0.058,8.492825879192026,4.389
0.054,-5.355,0.057,8.573479459397744,4.343
0.02,-5.438,0.059,8.663173383383707,4.315
0.0,-5.486,0.06,8.715173383383707,4.315
-0.043,-5.582,0.057,8.820363687119364,4.256
-0.071,-5.637,0.059,8.882080783616201,4.229
-0.111,-5.712,0.057,8.967080783616202,4.214
-0.147,-5.776,0.057,9.040511022618945,4.178
-0.191,-5.848,0.056,9.124891115057862,4.164
-0.252,-5.948,0.056,9.242027787368459,4.164
-0.323,-6.063,0.056,9.377179553912592,4.164
